site_name,address,city,state,programs,has_ot,has_pt,has_pa,latitude,longitude,geo_key
A House on Beekman,"390 Jackson Avenue, Bronx, NY",Bronx,NY,OT,True,False,False,40.8088955,-73.9103087,"390 JACKSON AVENUE, BRONX, NY"
Abilities,"10 Mountain Ledge Drive, Wilton, NY",Wilton,NY,OT,True,False,False,43.1325254,-73.7659061,"10 MOUNTAIN LEDGE DRIVE, WILTON, NY"
Ability Rehabilitation,"1200 Lexington Green Lane, Sanford, FL",Sanford,FL,PT,False,True,False,28.8132525,-81.2812525,"1200 LEXINGTON GREEN LANE, SANFORD, FL"
Access Health,"156 Maybrook Hall, Campbell Hall, NY",Campbell Hall,NY,"PT, OT",True,True,False,41.4618778,-74.24765529999999,"156 MAYBROOK HALL, CAMPBELL HALL, NY"
Access PT and Wellness,"30 Hatfield Ln, Suite 203, Goshen, NY",Goshen,NY,"PT, PA, OT",True,True,True,41.3951472,-74.3398938,"30 HATFIELD LN, SUITE 203, GOSHEN, NY"
Ace Pain and Spine,"3625 Braselton Highway# 201, Dacula, GA",Dacula,GA,PA,False,False,True,34.0686935,-83.90451279999999,"3625 BRASELTON HIGHWAY# 201, DACULA, GA"
ACE Physical Therapy and Sports Medicine Institute,"2841 Harland Rd, #401B, Falls Church, VA",Falls Church,VA,PT,False,True,False,38.876471,-77.22195599999999,"2841 HARLAND RD, #401B, FALLS CHURCH, VA"
Action Physical Therapy,"160 S Congress Ave,  Suite 101, Delray Beach, FL",Delray Beach,FL,PT,False,True,False,26.4587992,-80.0942388,"160 S CONGRESS AVE, SUITE 101, DELRAY BEACH, FL"
Adirondack Arc-Children's Corner,"12 Mohawk St, Tupper Lake, NY",Tupper Lake,NY,PT,False,True,False,44.24124519999999,-74.4864317,"12 MOHAWK ST, TUPPER LAKE, NY"
Adirondack Helping Hands,"128 Park Row, Suite 101, Cadyville, NY",Cadyville,NY,"OT, PT",True,True,False,44.698151,-73.62917449999999,"128 PARK ROW, SUITE 101, CADYVILLE, NY"
